"IdUsuAccesos","IdUsuarios","IdAccesos","Activado"
2402,61,34,0
2403,62,34,0
2404,63,34,0
2405,64,34,0
2406,65,34,0
2407,66,34,0
2408,67,34,0
2409,68,34,0
2410,69,34,0
2411,70,34,0
2412,71,34,0
2413,72,34,0
2414,73,34,0
2415,74,34,0
2416,75,34,0
2417,76,34,0
2418,77,1,0
2419,77,2,0
2420,77,3,0
2421,77,4,0
2422,77,5,0
2423,77,6,0
2424,77,7,0
2425,77,8,0
2426,77,9,0
2427,77,10,0
2428,77,11,0
2429,77,12,0
2430,77,13,0
2431,77,14,0
2432,77,15,0
2433,77,16,0
2434,77,17,0
2435,77,18,0
2436,77,19,0
2437,77,20,0
2438,77,21,0
2439,77,22,0
2440,77,23,0
2441,77,24,0
2442,77,25,0
2443,77,26,0
2444,77,27,0
2445,77,28,0
2446,77,29,0
2447,77,30,0
2448,77,31,0
2449,77,32,0
2450,77,33,0
2451,78,1,0
2452,78,2,0
2453,78,3,0
2454,78,4,0
2455,78,5,0
2456,78,6,0
2457,78,7,0
2458,78,8,0
2459,78,9,0
2460,78,10,0
2461,78,11,0
2462,78,12,0
2463,78,13,0
2464,78,14,0
2465,78,15,0
2466,78,16,0
2467,78,17,0
2468,78,18,0
2469,78,19,0
2470,78,20,0
2471,78,21,0
2472,78,22,0
2473,78,23,0
2474,78,24,0
2475,78,25,0
2476,78,26,0
2477,78,27,0
2478,78,28,0
2479,78,29,0
2480,78,30,0
2481,78,31,1
2482,78,32,0
2483,78,33,0
2484,79,1,0
2485,79,2,0
2486,79,3,0
2487,79,4,0
2488,79,5,0
2489,79,6,0
2490,79,7,0
2491,79,8,0
2492,79,9,0
2493,79,10,0
2494,79,11,0
2495,79,12,0
2496,79,13,0
2497,79,14,0
2498,79,15,0
2499,79,16,0
2500,79,17,0
2501,79,18,0
2502,79,19,0
2503,79,20,0
2504,79,21,0
2505,79,22,0
2506,79,23,0
2507,79,24,0
2508,79,25,0
2509,79,26,0
2510,79,27,0
2511,79,28,0
2512,79,29,0
2513,79,30,0
2514,79,31,0
2515,79,32,0
2516,79,33,0
2517,79,34,0
2518,80,1,0
2519,80,2,0
2520,80,3,0
2521,80,4,0
2522,80,5,0
2523,80,6,0
2524,80,7,0
2525,80,8,0
2526,80,9,0
2527,80,10,0
2528,80,11,0
2529,80,12,0
2530,80,13,0
2531,80,14,0
2532,80,15,0
2533,80,16,0
2534,80,17,0
2535,80,18,0
2536,80,19,0
2537,80,20,0
2538,80,21,0
2539,80,22,0
2540,80,23,0
2541,80,24,0
2542,80,25,0
2543,80,26,0
2544,80,27,0
2545,80,28,0
2546,80,29,0
2547,80,30,0
2548,80,31,0
2549,80,32,0
2550,80,33,0
2551,80,34,0
2552,81,1,0
2553,81,2,0
2554,81,3,0
2555,81,4,0
2556,81,5,0
2557,81,6,0
2558,81,7,0
2559,81,8,0
2560,81,9,0
2561,81,10,0
2562,81,11,0
2563,81,12,0
2564,81,13,0
2565,81,14,0
2566,81,15,0
2567,81,16,0
2568,81,17,0
2569,81,18,0
2570,81,19,0
2571,81,20,0
2572,81,21,0
2573,81,22,0
2574,81,23,0
2575,81,24,0
2576,81,25,0
2577,81,26,0
2578,81,27,0
2579,81,28,0
2580,81,29,0
2581,81,30,0
2582,81,31,0
2583,81,32,0
2584,81,33,0
2585,81,34,0
2586,82,1,0
2587,82,2,0
2588,82,3,0
2589,82,4,0
2590,82,5,0
2591,82,6,0
2592,82,7,0
2593,82,8,0
2594,82,9,0
2595,82,10,0
2596,82,11,0
2597,82,12,0
2598,82,13,0
2599,82,14,0
2600,82,15,0
2601,82,16,0
2602,82,17,0
2603,82,18,0
2604,82,19,0
2605,82,20,0
2606,82,21,0
2607,82,22,0
2608,82,23,0
2609,82,24,0
2610,82,25,0
2611,82,26,0
2612,82,27,0
2613,82,28,0
2614,82,29,0
2615,82,30,0
2616,82,31,0
2617,82,32,0
2618,82,33,0
2619,82,34,0
2620,1,35,1
2621,2,35,1
2622,3,35,0
2623,4,35,0
2624,5,35,0
2625,6,35,0
2626,10,35,0
2627,11,35,0
2628,12,35,0
2629,13,35,0
2630,14,35,0
2631,15,35,0
2632,16,35,0
2633,17,35,0
2634,18,35,0
2635,19,35,0
2636,20,35,0
2637,21,35,0
2638,22,35,0
2639,23,35,0
2640,24,35,0
2641,25,35,0
2642,27,35,0
2643,28,35,0
2644,29,35,0
2645,30,35,0
2646,31,35,0
2647,32,35,0
2648,33,35,0
2649,34,35,0
2650,35,35,0
2651,36,35,0
2652,37,35,0
2653,38,35,0
2654,39,35,0
2655,40,35,0
2656,41,35,0
2657,42,35,0
2658,43,35,0
2659,44,35,0
2660,45,35,0
2661,46,35,0
2662,47,35,0
2663,48,35,0
2664,49,35,0
2665,50,35,0
2666,51,35,0
2667,52,35,0
2668,53,35,0
2669,54,35,0
2670,55,35,0
2671,56,35,0
2672,57,35,0
2673,58,35,0
2674,59,35,0
2675,60,35,0
2676,61,35,0
2677,62,35,0
2678,63,35,0
2679,64,35,0
2680,65,35,0
2681,66,35,0
2682,67,35,0
2683,68,35,0
2684,69,35,0
2685,70,35,0
2686,71,35,0
2687,72,35,0
2688,73,35,0
2689,74,35,0
2690,75,35,0
2691,76,35,0
2692,77,35,0
2693,78,35,0
2694,79,35,0
2695,80,35,0
2696,81,35,0
2697,82,35,0
2698,83,1,0
2699,83,2,0
2700,83,3,0
2701,83,4,0
2702,83,5,0
2703,83,6,0
2704,83,7,0
2705,83,8,0
2706,83,9,0
2707,83,10,0
2708,83,11,0
2709,83,12,0
2710,83,13,0
2711,83,14,0
2712,83,15,0
2713,83,16,0
2714,83,17,0
2715,83,18,0
2716,83,19,0
2717,83,20,0
2718,83,21,0
2719,83,22,0
2720,83,23,0
2721,83,24,1
2722,83,25,0
2723,83,26,0
2724,83,27,0
2725,83,28,0
2726,83,29,0
2727,83,30,0
2728,83,31,0
2729,83,32,0
2730,83,33,0
2731,83,34,0
2732,83,35,0
2733,84,1,0
2734,84,2,0
2735,84,3,0
2736,84,4,0
2737,84,5,0
2738,84,6,0
2739,84,7,0
2740,84,8,0
2741,84,9,0
2742,84,10,0
2743,84,11,0
2744,84,12,0
2745,84,13,0
2746,84,14,0
2747,84,15,0
2748,84,16,0
2749,84,17,0
2750,84,18,0
2751,84,19,0
2752,84,20,0
2753,84,21,0
2754,84,22,0
2755,84,23,0
2756,84,24,0
2757,84,25,0
2758,84,26,0
2759,84,27,0
2760,84,28,0
2761,84,29,0
2762,84,30,0
2763,84,31,0
2764,84,32,0
2765,84,33,0
2766,84,34,0
2767,84,35,0
2768,85,1,0
2769,85,2,0
2770,85,3,0
2771,85,4,0
2772,85,5,0
2773,85,6,0
2774,85,7,0
2775,85,8,0
2776,85,9,0
2777,85,10,0
2778,85,11,0
2779,85,12,0
2780,85,13,0
2781,85,14,0
2782,85,15,0
2783,85,16,0
2784,85,17,0
2785,85,18,0
2786,85,19,0
2787,85,20,0
2788,85,21,0
2789,85,22,0
2790,85,23,0
2791,85,24,0
2792,85,25,0
2793,85,26,0
2794,85,27,0
2795,85,28,0
2796,85,29,0
2797,85,30,0
2798,85,31,0
2799,85,32,0
2800,85,33,0
2801,85,34,0
2802,85,35,0
2803,86,1,0
2804,86,2,0
2805,86,3,0
2806,86,4,0
2807,86,5,0
2808,86,6,0
2809,86,7,0
2810,86,8,0
2811,86,9,0
2812,86,10,0
2813,86,11,0
2814,86,12,0
2815,86,13,0
2816,86,14,0
2817,86,15,0
2818,86,16,0
2819,86,17,0
2820,86,18,0
2821,86,19,0
2822,86,20,0
2823,86,21,0
2824,86,22,0
2825,86,23,0
2826,86,24,1
2827,86,25,0
2828,86,26,0
2829,86,27,0
2830,86,28,0
2831,86,29,0
2832,86,30,0
2833,86,31,0
2834,86,32,0
2835,86,33,0
2836,86,34,0
2837,86,35,0
2838,1,36,1
2839,2,36,1
2840,3,36,0
2841,4,36,0
2842,5,36,0
2843,6,36,0
2844,10,36,0
2845,11,36,0
2846,12,36,0
2847,13,36,0
2848,14,36,0
2849,15,36,0
2850,16,36,0
2851,17,36,0
2852,18,36,0
2853,19,36,0
2854,20,36,0
2855,21,36,0
2856,22,36,0
2857,23,36,0
2858,24,36,0
2859,25,36,0
2860,27,36,0
2861,28,36,0
2862,29,36,0
2863,30,36,0
2864,31,36,0
2865,32,36,0
2866,33,36,0
2867,34,36,0
2868,35,36,0
2869,36,36,0
2870,37,36,0
2871,38,36,0
2872,39,36,0
2873,40,36,0
2874,41,36,0
2875,42,36,1
2876,43,36,0
2877,44,36,0
2878,45,36,0
2879,46,36,0
2880,47,36,0
2881,48,36,0
2882,49,36,0
2883,50,36,0
2884,51,36,0
2885,52,36,0
2886,53,36,0
2887,54,36,0
2888,55,36,0
2889,56,36,0
2890,57,36,0
2891,58,36,0
2892,59,36,0
2893,60,36,0
2894,61,36,0
2895,62,36,0
2896,63,36,0
2897,64,36,0
2898,65,36,0
2899,66,36,0
2900,67,36,0
2901,68,36,0
2902,69,36,0
2903,70,36,0
2904,71,36,1
2905,72,36,0
2906,73,36,0
2907,74,36,0
2908,75,36,0
2909,76,36,0
2910,77,36,0
2911,78,36,0
2912,79,36,0
2913,80,36,0
2914,81,36,0
2915,82,36,0
2916,83,36,0
2917,84,36,0
2918,85,36,0
2919,86,36,0
2920,1,37,1
2921,2,37,1
2922,3,37,0
2923,4,37,0
2924,5,37,0
2925,6,37,0
2926,10,37,0
2927,11,37,0
2928,12,37,0
2929,13,37,0
2930,14,37,0
2931,15,37,0
2932,16,37,0
2933,17,37,0
2934,18,37,0
2935,19,37,0
2936,20,37,0
2937,21,37,0
2938,22,37,0
2939,23,37,0
2940,24,37,0
2941,25,37,0
2942,27,37,0
2943,28,37,0
2944,29,37,0
2945,30,37,0
2946,31,37,0
2947,32,37,0
2948,33,37,0
2949,34,37,0
2950,35,37,0
2951,36,37,0
2952,37,37,0
2953,38,37,0
2954,39,37,0
2955,40,37,0
2956,41,37,0
2957,42,37,1
2958,43,37,0
2959,44,37,0
2960,45,37,0
2961,46,37,0
2962,47,37,0
2963,48,37,0
2964,49,37,0
2965,50,37,0
2966,51,37,0
2967,52,37,0
2968,53,37,0
2969,54,37,0
2970,55,37,0
2971,56,37,0
2972,57,37,0
2973,58,37,0
2974,59,37,0
2975,60,37,0
2976,61,37,0
2977,62,37,0
2978,63,37,0
2979,64,37,0
2980,65,37,0
2981,66,37,0
2982,67,37,0
2983,68,37,0
2984,69,37,0
2985,70,37,0
2986,71,37,0
2987,72,37,0
2988,73,37,0
2989,74,37,0
2990,75,37,0
2991,76,37,0
2992,77,37,0
2993,78,37,0
2994,79,37,0
2995,80,37,0
2996,81,37,0
2997,82,37,0
2998,83,37,0
2999,84,37,0
3000,85,37,0
3001,86,37,0
3002,87,1,1
3003,87,2,1
3004,87,3,1
3005,87,4,1
3006,87,5,1
3007,87,6,1
3008,87,7,1
3009,87,8,1
3010,87,9,1
3011,87,10,1
3012,87,11,1
3013,87,12,1
3014,87,13,1
3015,87,14,1
3016,87,15,1
3017,87,16,1
3018,87,17,1
3019,87,18,1
3020,87,19,1
3021,87,20,1
3022,87,21,1
3023,87,22,1
3024,87,23,1
3025,87,24,1
3026,87,25,1
3027,87,26,1
3028,87,27,1
3029,87,28,1
3030,87,29,1
3031,87,30,1
3032,87,31,1
3033,87,32,1
3034,87,33,1
3035,87,34,1
3036,87,35,1
3037,87,36,1
3038,87,37,1
3039,88,1,0
3040,88,2,0
3041,88,3,0
3042,88,4,0
3043,88,5,0
3044,88,6,0
3045,88,7,0
3046,88,8,0
3047,88,9,0
3048,88,10,0
3049,88,11,0
3050,88,12,0
