"IdSalidas","IdOrdenes","IdTela","Fecha","Referencia"
66,43,4,29/06/2005 00:00:00,
67,43,10,29/06/2005 00:00:00,
68,35,4,28/06/2005 00:00:00,
69,35,2,28/06/2005 00:00:00,
70,38,7,28/06/2005 00:00:00,
71,2,10,21/04/2005 00:00:00,
72,3,10,21/04/2005 00:00:00,
73,3,3,21/04/2005 00:00:00,
74,4,10,21/04/2005 00:00:00,
75,4,3,21/04/2005 00:00:00,
76,8,0,27/04/2005 00:00:00,
77,8,2,27/04/2005 00:00:00,
78,8,10,27/04/2005 00:00:00,
79,9,4,21/04/2005 00:00:00,
80,10,4,21/04/2005 00:00:00,
81,11,4,21/04/2005 00:00:00,
82,12,4,21/04/2005 00:00:00,
83,13,4,21/04/2005 00:00:00,
84,14,4,21/04/2005 00:00:00,
85,15,4,28/04/2005 00:00:00,
86,15,2,28/04/2005 00:00:00,
87,15,7,28/04/2005 00:00:00,
88,16,4,21/04/2005 00:00:00,
89,16,18,21/04/2005 00:00:00,
90,16,10,21/04/2005 00:00:00,
91,46,4,25/07/2005 00:00:00,
92,46,10,25/07/2005 00:00:00,
93,49,10,25/07/2005 00:00:00,
94,51,2,25/07/2005 00:00:00,
95,51,10,25/07/2005 00:00:00,
96,53,2,25/07/2005 00:00:00,
97,53,4,25/07/2005 00:00:00,
98,53,10,25/07/2005 00:00:00,
99,47,10,26/07/2005 00:00:00,
100,52,2,26/07/2005 00:00:00,
101,52,1,26/07/2005 00:00:00,
102,52,10,26/07/2005 00:00:00,
103,45,2,26/07/2005 00:00:00,
104,45,10,26/07/2005 00:00:00,
105,50,2,26/07/2005 00:00:00,
106,55,1,26/07/2005 00:00:00,
107,57,1,26/07/2005 00:00:00,
108,56,1,01/08/2005 00:00:00,
109,57,1,01/08/2005 00:00:00,
110,62,4,03/08/2005 00:00:00,
111,62,1,03/08/2005 00:00:00,
112,55,1,03/08/2005 00:00:00,
113,0,1,22/07/2005 00:00:00,"Lab.W.01"
114,64,3,08/08/2005 00:00:00,
115,64,4,08/08/2005 00:00:00,
116,64,1,08/08/2005 00:00:00,
117,64,2,08/08/2005 00:00:00,
118,64,21,08/08/2005 00:00:00,
119,79,4,12/08/2005 00:00:00,
120,79,1,12/08/2005 00:00:00,
121,79,3,12/08/2005 00:00:00,
122,79,18,12/08/2005 00:00:00,
123,80,16,12/08/2005 00:00:00,
124,80,3,12/08/2005 00:00:00,
125,68,2,08/08/2005 00:00:00,
126,73,3,12/08/2005 00:00:00,
127,73,16,12/08/2005 00:00:00,
128,73,4,12/08/2005 00:00:00,
129,73,2,12/08/2005 00:00:00,
130,74,3,12/08/2005 00:00:00,
131,74,16,12/08/2005 00:00:00,
132,62,3,03/08/2005 00:00:00,
133,81,16,12/08/2005 00:00:00,
134,81,1,12/08/2005 00:00:00,
135,81,18,12/08/2005 00:00:00,
136,81,3,12/08/2005 00:00:00,
137,67,4,11/08/2005 00:00:00,
138,67,6,11/08/2005 00:00:00,
139,67,14,11/08/2005 00:00:00,
140,0,4,16/08/2005 00:00:00,"D.001"
141,0,7,16/08/2005 00:00:00,"D.001"
142,0,21,16/08/2005 00:00:00,"D.001"
143,0,12,16/08/2005 00:00:00,"D.001"
144,0,14,16/08/2005 00:00:00,
145,0,10,16/08/2005 00:00:00,
146,63,4,22/08/2005 00:00:00,
147,63,3,22/08/2005 00:00:00,
148,67,2,11/08/2005 00:00:00,
149,0,14,16/08/2005 00:00:00,"D.001"
150,0,3,16/08/2005 00:00:00,"D.001"
151,81,3,12/08/2005 00:00:00,
152,0,16,19/08/2005 00:00:00,"Dev.001"
153,90,25,23/08/2005 00:00:00,
154,90,26,23/08/2005 00:00:00,
155,92,25,23/08/2005 00:00:00,
156,92,27,23/08/2005 00:00:00,
157,92,26,23/08/2005 00:00:00,
158,93,25,23/08/2005 00:00:00,
159,0,1,29/08/2005 00:00:00,"Cruz Nequis"
160,0,23,29/08/2005 00:00:00,"Cruz Nequis"
161,0,22,29/08/2005 00:00:00,"Cruz Nequis"
162,0,5,29/08/2005 00:00:00,"Cruz Nequis"
163,0,3,29/08/2005 00:00:00,"Cruz Nequis"
164,0,6,29/08/2005 00:00:00,"Cruz Nequis"
165,0,2,06/09/2005 00:00:00,"Dev.002"
166,0,4,06/09/2005 00:00:00,"Dev.002"
167,0,7,06/09/2005 00:00:00,"Dev.002"
168,0,5,06/09/2005 00:00:00,"Dev.002"
169,0,1,06/09/2005 00:00:00,"Dev.002"
170,0,10,06/09/2005 00:00:00,"Dev,002"
171,0,11,06/09/2005 00:00:00,"Dev.002"
172,69,3,07/09/2005 00:00:00,
173,76,3,08/09/2005 00:00:00,
174,0,29,07/09/2005 00:00:00,"Lab.W.02"
175,0,30,07/09/2005 00:00:00,"Lab.W.02"
176,69,3,14/09/2005 00:00:00,
177,0,30,14/09/2005 00:00:00,"CSJ01"
178,0,29,14/09/2005 00:00:00,"Lab.W.03"
179,0,30,14/09/2005 00:00:00,"Lab.W.03"
180,0,30,19/09/2005 00:00:00,"CSJ02"
181,0,3,19/09/2005 00:00:00,"CSJ02"
182,70,3,20/09/2005 00:00:00,
183,70,10,20/09/2005 00:00:00,
184,76,28,22/09/2005 00:00:00,
185,75,28,22/09/2005 00:00:00,
186,75,3,22/09/2005 00:00:00,
187,83,3,22/09/2005 00:00:00,
188,82,3,22/09/2005 00:00:00,
189,82,10,22/09/2005 00:00:00,
190,84,3,22/09/2005 00:00:00,
191,84,7,22/09/2005 00:00:00,
192,0,3,21/09/2005 00:00:00,"POP01"
193,0,3,21/09/2005 00:00:00,"POP01"
194,0,2,21/09/2005 00:00:00,"POP01"
195,97,30,22/09/2005 00:00:00,
196,99,30,22/09/2005 00:00:00,
197,111,30,22/09/2005 00:00:00,
198,111,3,22/09/2005 00:00:00,
199,0,3,28/09/2005 00:00:00,"Diferencias01"
200,0,2,28/09/2005 00:00:00,"Diferencias01"
201,98,30,23/09/2005 00:00:00,
202,100,30,27/09/2005 00:00:00,
203,97,30,27/09/2005 00:00:00,
204,0,2,27/09/2005 00:00:00,"Free 380"
