"IdEntregas","IdOrdenes","IdMaquileros","Fecha","Cantidad","Observaciones","FechaEntregaM","PrecioPactado","Consecutivo"
3629,2736,366,15/06/2017 00:00:00,1260,"CORTE Y CONFECCION",03/07/2017 00:00:00,15.00,2
3630,2735,366,15/06/2017 00:00:00,996,"CORTE Y CONFECCION",06/07/2017 00:00:00,15.00,1
3631,2732,251,06/07/2017 00:00:00,600,,13/07/2017 00:00:00,22.00,3
3632,2731,365,07/07/2017 00:00:00,1100,,18/07/2017 00:00:00,23.00,1
3633,2731,225,07/07/2017 00:00:00,900,,18/07/2017 00:00:00,24.00,2
3634,2731,345,10/07/2017 00:00:00,1100,,21/07/2017 00:00:00,25.00,3
3635,2787,236,11/07/2017 00:00:00,488,,24/07/2017 00:00:00,19.00,1
3636,2738,236,11/07/2017 00:00:00,1152,,24/07/2012 00:00:00,19.00,3
3637,2799,226,13/07/2017 00:00:00,1464,,24/07/2017 00:00:00,15.50,1
3638,2743,286,13/07/2017 00:00:00,265,,20/07/2017 00:00:00,14.00,1
3639,2807,286,13/07/2017 00:00:00,228,,20/07/2017 00:00:00,10.50,1
3640,2796,286,13/07/2017 00:00:00,25,,28/07/2017 00:00:00,11.00,1
3641,2796,286,13/07/2017 00:00:00,28,,28/07/2017 00:00:00,6.00,2
3642,2759,158,13/07/2017 00:00:00,612,,25/07/2017 00:00:00,9.00,1
3643,2731,158,15/07/2017 00:00:00,1030,"VER precio porque Josefina  dice que a  $26.50",25/07/2017 00:00:00,25.00,4
3644,2745,359,18/07/2017 00:00:00,1071,,25/07/2017 00:00:00,14.00,1
3645,2758,251,15/07/2017 00:00:00,612,,25/07/2017 00:00:00,8.00,1
3646,2762,251,15/07/2017 00:00:00,612,,25/07/2017 00:00:00,8.00,1
3647,2763,251,15/07/2017 00:00:00,612,,25/07/2017 00:00:00,8.00,1
3648,2806,251,18/07/2017 00:00:00,1224,,27/07/2017 00:00:00,14.50,1
3649,2805,368,17/07/2017 00:00:00,588,,25/07/2017 00:00:00,11.00,1
3650,2751,365,13/07/2017 00:00:00,380,,,49.00,2
3651,2751,367,13/07/2017 00:00:00,45,,,46.00,3
3652,2751,226,13/07/2017 00:00:00,50,,,50.00,4
3653,2751,225,13/07/2017 00:00:00,45,,,47.00,5
3654,2751,158,13/07/2017 00:00:00,50,,,48.00,6
3655,2751,345,13/07/2017 00:00:00,50,,,50.00,7
3656,2751,367,13/07/2017 00:00:00,50,,,46.00,8
3657,2715,226,29/06/2017 00:00:00,260,"ESTE JOGGER SOLO SE CONFECCIONO LA BASE POR ESO SE PAGAN 5 PESOS POR PIEZA",,5.00,3
3658,2715,225,29/07/2017 00:00:00,260,"EN ESTE CORTE ES EL MISMO QUE SE LLEVO TOMASA SOLO QUE LAS PRETINAS Y LOS PU¥OS LOS PEGO RAUL MITRE",,5.00,4
3659,2715,,,0,,26/06/2017 00:00:00,21.00,0
3660,2805,368,18/07/2017 00:00:00,612,,25/07/2017 00:00:00,11.00,2
3661,2806,,,0,,,0.00,2
