"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
685,348,61,0.00,50.00
686,349,667,0.00,1.05
687,350,681,0.00,42.50
688,351,681,0.00,16.80
689,352,219,204.29,0.00
690,353,620,626.65,110.90
691,353,623,664.23,88.00
692,353,629,42.00,0.00
693,354,623,960.31,106.69
694,354,620,892.20,83.60
695,354,629,70.00,0.00
696,355,661,427.35,0.00
697,355,662,472.50,0.00
698,356,612,0.00,36.44
699,357,683,0.00,37.00
700,358,661,472.22,0.00
701,358,666,536.61,0.00
702,358,661,0.00,42.45
703,359,681,0.00,44.70
704,360,661,360.73,19.01
705,360,666,31.46,0.00
706,360,659,377.96,0.00
707,360,669,0.00,0.00
708,361,680,0.00,21.50
709,361,683,34.34,0.00
710,362,623,863.90,0.00
711,362,620,821.03,0.00
712,362,629,0.00,90.85
713,363,1041,197.27,0.00
714,364,602,0.00,30.40
715,364,605,0.00,34.40
716,365,763,390.96,119.92
717,365,996,70.38,0.00
718,365,760,860.08,0.00
719,366,620,566.46,0.00
720,366,623,225.67,0.00
721,367,598,65.40,0.00
722,368,692,66.10,0.00
723,369,662,480.91,0.00
724,369,661,430.38,0.00
725,369,666,117.54,0.00
726,370,683,122.10,0.00
727,370,680,61.80,0.00
728,370,681,0.00,17.00
729,371,1001,38.40,0.00
730,372,383,7.79,0.00
731,372,385,3.48,4.67
732,372,386,27.81,0.00
733,373,342,0.00,0.76
734,374,392,0.43,0.00
735,375,417,30.59,0.00
736,375,420,2.48,0.00
737,375,424,0.00,3.72
738,376,429,0.44,0.00
739,376,430,0.70,0.00
740,376,431,9.90,0.00
741,376,432,6.95,0.00
742,377,439,3.85,0.00
743,378,448,0.00,2.00
744,379,187,138.62,0.00
745,380,235,181.80,23.30
746,381,105,164.42,0.00
747,382,141,0.00,128.40
748,383,101,0.00,73.47
749,384,1359,301.00,61.42
750,384,1360,15.00,0.00
751,385,1360,370.00,40.47
752,386,1359,8.30,0.00
753,386,1360,221.90,0.00
754,386,1359,9.56,0.00
755,386,1360,163.10,0.00
756,387,1359,8.30,0.00
757,387,1360,221.90,0.00
758,388,1543,395.00,0.00
759,389,1366,372.00,0.00
760,389,1543,0.00,22.00
761,390,1366,348.00,0.00
762,390,1543,22.00,0.00
763,391,1543,218.90,0.00
764,392,1358,64.00,0.00
765,392,1367,26.21,40.25
766,392,1366,140.70,0.00
767,392,1373,132.80,0.00
768,392,1360,24.46,40.65
769,393,1367,159.00,0.00
770,393,1360,177.00,0.00
771,394,1402,0.00,0.00
772,395,1427,119.80,0.00
773,396,1367,0.00,11.00
774,396,1360,0.00,11.00
775,397,1367,155.80,25.75
776,397,1373,24.42,0.00
777,397,1550,129.50,0.00
778,398,1367,165.00,20.04
779,398,1373,154.00,19.53
780,399,1367,51.15,0.00
781,399,1373,52.00,20.00
782,400,1571,0.00,25.00
783,401,1571,0.00,20.00
784,402,757,573.00,0.00
785,403,548,573.00,0.00
786,404,769,0.00,43.62
787,405,761,0.00,40.26
788,405,760,0.00,37.75
789,406,996,0.00,33.55
790,407,763,0.00,26.84
791,407,1006,0.00,23.48
792,408,1001,109.86,0.00
793,409,816,112.78,6.44
794,410,812,37.80,7.00
795,410,964,275.17,0.00
796,410,813,261.90,0.00
797,410,816,318.90,6.35
798,410,819,160.90,0.00
799,410,823,75.81,0.00
800,410,824,38.36,14.40
801,411,806,19.60,0.00
802,412,1042,35.10,7.50
803,412,1037,19.50,2.95
804,412,1057,0.00,7.84
805,413,819,8.90,6.59
806,413,822,2.85,0.00
807,414,819,8.90,0.00
808,415,824,0.00,3.53
809,415,812,1.00,0.00
810,416,816,32.92,34.70
811,416,812,0.92,0.00
812,417,813,2.75,0.00
813,418,548,273.98,33.48
814,418,545,246.86,47.60
815,418,554,287.17,34.20
816,418,774,18.60,0.00
817,419,1057,7.30,0.00
818,419,1037,0.00,2.60
819,420,1057,8.40,0.00
820,420,1037,0.00,2.05
821,421,1057,20.00,0.00
822,421,1037,0.00,2.50
823,422,1057,19.90,0.00
824,422,1037,0.00,2.50
825,423,111,119.70,0.00
