"IdSalidasDet","IdSalidas","IdTelasColAlm","TelaSal1","TelaSal2"
826,424,219,87.19,0.00
827,425,1358,260.00,0.00
828,425,1360,139.00,10.00
829,426,1358,267.00,0.00
830,426,1368,0.00,38.00
831,427,1557,366.00,0.00
832,427,1368,0.00,52.00
833,428,1368,352.00,0.00
834,428,1557,33.00,0.00
835,429,1368,212.00,40.69
836,429,1557,14.00,0.00
837,430,1372,164.00,0.00
838,430,1358,179.00,0.00
839,430,1366,0.00,0.00
840,431,1366,5.00,0.00
841,432,37,50.50,0.00
842,432,33,113.89,0.00
843,432,1,346.06,0.00
844,433,131,183.80,0.00
845,433,145,212.30,0.00
846,433,135,49.65,0.00
847,433,129,59.20,0.00
848,434,125,50.70,0.00
849,434,123,118.34,0.00
850,434,119,44.58,0.00
851,435,307,221.58,0.00
852,436,61,308.55,0.00
853,436,69,172.61,0.00
854,437,620,969.83,0.00
855,437,623,767.92,0.00
856,438,598,56.37,0.00
857,439,692,54.80,0.00
858,440,662,540.46,19.80
859,440,1575,521.45,19.36
860,440,668,97.24,0.00
861,441,1561,0.00,19.00
862,443,1031,44.20,17.70
863,444,623,182.08,0.00
864,445,597,207.65,0.00
865,446,661,0.00,18.33
866,447,1041,692.37,0.00
867,448,679,155.00,0.00
868,449,686,192.59,0.00
869,450,667,139.79,33.91
870,450,662,158.93,0.00
871,450,666,39.79,0.00
872,450,661,951.23,27.91
873,451,683,45.46,8.20
874,451,681,188.20,51.20
875,452,605,0.00,10.40
876,453,175,125.34,0.00
877,454,61,13.00,1.80
878,454,77,8.00,0.00
879,454,75,9.40,1.00
880,454,53,6.00,0.00
881,454,55,8.00,1.10
882,454,57,5.00,0.00
883,454,73,6.80,0.00
884,455,153,5.00,0.00
885,456,85,10.12,0.00
886,457,85,2.00,0.00
887,458,763,0.00,43.62
888,459,763,0.00,49.62
889,460,1360,342.00,0.00
890,460,1366,33.00,0.00
891,460,1358,16.00,0.00
892,461,1360,217.30,0.00
893,461,1366,15.00,0.00
894,461,1358,8.00,0.00
895,462,1362,5.00,0.00
896,463,167,5.00,1.10
897,463,171,5.00,0.00
898,463,177,5.30,0.00
899,463,181,6.30,0.00
900,463,189,5.00,0.90
901,464,83,5.40,0.00
902,464,89,5.50,0.00
903,465,983,22.00,0.00
904,465,988,34.00,0.00
905,465,998,31.00,4.00
906,465,557,33.90,0.00
907,465,566,21.00,4.70
908,466,572,18.00,6.00
909,466,778,17.00,4.00
910,466,551,12.00,5.00
911,466,548,12.64,4.52
912,467,757,746.06,0.00
913,467,764,7.58,0.00
914,467,759,82.40,17.44
915,467,756,215.01,0.00
916,467,758,24.55,31.96
917,467,777,0.00,0.00
918,468,1041,0.00,172.18
919,468,1272,0.00,20.16
920,468,1036,0.00,319.79
921,468,1051,0.00,278.87
922,468,1046,0.00,47.40
923,468,1056,20.16,396.57
924,469,95,105.23,0.00
925,469,85,64.88,0.00
926,470,153,8.35,0.00
927,471,129,0.00,40.38
928,472,235,245.10,0.00
929,473,301,86.37,0.00
930,474,983,113.20,0.00
931,475,83,22.60,0.00
932,476,45,0.00,17.25
933,477,181,94.56,0.00
934,478,551,54.21,91.02
935,479,1360,384.00,0.00
936,479,1366,0.00,45.00
937,479,1358,19.00,0.00
938,480,760,35.07,0.00
939,480,986,0.00,40.72
940,480,1001,13.90,36.63
941,480,1308,0.00,40.58
942,480,1302,0.00,35.27
943,480,1296,0.00,28.40
944,480,1314,0.00,35.77
945,480,991,80.85,0.00
946,480,762,1073.75,0.00
947,480,1031,1243.70,220.43
948,481,612,0.00,8.20
949,482,680,46.51,0.00
950,483,1028,519.20,106.76
951,484,983,0.00,3.43
952,485,173,656.09,27.97
953,485,183,39.79,30.00
954,486,988,694.20,0.00
955,487,209,155.40,0.00
956,488,75,0.00,9.07
957,489,661,558.17,24.42
958,489,666,42.59,22.64
959,490,1815,253.77,0.00
960,491,679,155.40,0.00
961,492,991,694.75,0.00
962,493,1366,119.76,21.00
963,493,1362,122.00,0.00
964,493,1358,25.00,0.00
965,493,1372,25.00,0.00
966,494,1585,0.00,20.00
967,495,1366,71.00,19.00
