"IdIPT_Movs","Fecha","Referencia","IdIPT_TipoMov","EnSa","IdMaquileros","ObsMovs","IdIPT_Almacenes","IdUsuarios","TieneModelos","IdRecibos"
1820,12/04/2021 00:00:00,,2,1,236,,2,71,1,0
1821,04/12/2021 00:00:00,,2,1,236,,1,71,1,9177
1822,04/12/2021 00:00:00,,2,1,236,,2,71,1,9178
1823,04/09/2021 00:00:00,,2,1,16,,1,71,1,9179
1824,04/09/2021 00:00:00,,2,1,16,,2,71,1,9180
1825,04/09/2021 00:00:00,,2,1,16,,1,71,1,9182
1826,04/09/2021 00:00:00,,2,1,16,,2,71,1,9183
1827,13/04/2021 00:00:00,,2,1,404,,1,71,1,9185
1828,13/04/2021 00:00:00,,2,1,251,,1,71,1,9186
1829,13/04/2021 00:00:00,,2,1,251,,1,71,1,9188
1830,13/04/2021 00:00:00,,2,1,251,,2,71,1,9189
1831,13/04/2021 00:00:00,,2,1,158,,1,71,1,0
1832,14/04/2021 00:00:00,"Segundas (1833)",9,2,0,,1,71,1,0
1833,14/04/2021 00:00:00,"Primeras (1832)",9,1,0,,2,71,1,0
1834,14/04/2021 00:00:00,,15,2,0,,1,71,1,0
1835,14/04/2021 00:00:00,"Segundas (1836)",9,2,0,,1,71,1,0
1836,14/04/2021 00:00:00,"Primeras (1835)",9,1,0,,2,71,1,0
1837,14/04/2021 00:00:00,,14,1,0,,2,71,1,0
1838,14/04/2021 00:00:00,,0,1,0,,1,71,1,0
1839,14/04/2021 00:00:00,,15,2,0,,1,71,1,0
1840,14/04/2021 00:00:00,,14,1,0,,1,71,1,0
1841,14/04/2021 00:00:00,,2,1,226,,1,71,1,9192
1842,13/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1843,14/04/2021 00:00:00,,4,1,0,,1,71,1,0
1844,14/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1845,14/04/2021 00:00:00,,5,2,0,"C&A",1,71,1,0
1846,14/04/2021 00:00:00,,5,2,0,"Cklass",1,71,1,0
1847,14/04/2021 00:00:00,,2,1,396,,1,71,1,9193
1848,15/04/2021 00:00:00,,15,2,0,,1,71,1,0
1849,15/04/2021 00:00:00,,2,1,396,,1,71,1,9194
1850,15/04/2021 00:00:00,,2,1,251,,1,71,1,9195
1851,15/04/2021 00:00:00,,2,1,251,,2,71,1,9197
1852,15/04/2021 00:00:00,,2,1,251,,1,71,1,9198
1853,16/04/2021 00:00:00,"Primeras (1854)",9,2,0,,2,71,1,0
1854,16/04/2021 00:00:00,"Segundas (1853)",9,1,0,,1,71,1,0
1855,16/04/2021 00:00:00,,14,1,0,,1,71,1,0
1856,16/04/2021 00:00:00,,5,2,0,"Aeropostale",1,71,1,0
1857,16/04/2021 00:00:00,,7,2,0,"Rafael Salda¤a",1,71,1,0
1858,16/04/2021 00:00:00,"Segundas (1859)",9,2,0,,1,71,1,0
1859,16/04/2021 00:00:00,"Primeras (1858)",9,1,0,,2,71,1,0
1860,16/04/2021 00:00:00,,15,2,0,,1,71,1,0
1861,16/04/2021 00:00:00,,12,1,0,,1,71,1,0
1862,16/04/2021 00:00:00,"Segundas (1863)",9,2,0,,1,71,1,0
1863,16/04/2021 00:00:00,"Primeras (1862)",9,1,0,,2,71,1,0
1864,16/04/2021 00:00:00,,15,2,0,,1,71,1,0
1865,16/04/2021 00:00:00,"Segundas (1866)",9,2,0,,1,71,1,0
1866,16/04/2021 00:00:00,"Primeras (1865)",9,1,0,,2,71,1,0
1867,16/04/2021 00:00:00,,15,2,0,,1,71,1,0
1868,16/04/2021 00:00:00,,15,2,0,,1,71,1,0
1869,16/04/2021 00:00:00,,15,2,0,,1,71,1,0
1870,16/04/2021 00:00:00,,11,2,0,,1,71,1,0
1871,17/04/2021 00:00:00,,2,1,251,,1,71,1,9199
1872,17/04/2021 00:00:00,,2,1,251,,1,71,1,9201
1873,17/04/2021 00:00:00,,2,1,251,,1,71,1,9202
1874,19/04/2021 00:00:00,,14,1,0,,1,71,1,0
1875,19/04/2021 00:00:00,,14,1,0,,2,71,1,0
1876,19/04/2021 00:00:00,,2,1,251,,1,71,1,9204
1877,19/04/2021 00:00:00,,2,1,158,,1,71,1,0
1878,20/04/2021 00:00:00,,2,1,396,,1,71,1,0
1879,20/04/2021 00:00:00,"Segundas (1880)",9,2,0,,1,71,1,0
1880,20/04/2021 00:00:00,"Primeras (1879)",9,1,0,,2,71,1,0
1881,20/04/2021 00:00:00,,15,2,0,,1,71,1,0
1882,20/04/2021 00:00:00,"Segundas (1883)",9,2,0,,1,71,1,0
1883,20/04/2021 00:00:00,"Primeras (1882)",9,1,0,,2,71,1,0
1884,20/04/2021 00:00:00,,15,2,0,,1,71,1,0
1885,20/04/2021 00:00:00,"Segundas (1886)",9,2,0,,1,71,1,0
1886,20/04/2021 00:00:00,"Primeras (1885)",9,1,0,,2,71,1,0
1887,20/04/2021 00:00:00,,2,1,404,,1,71,1,9208
