"IdCC_AuditoriasDet","IdCC_Auditorias","IdCC_Catalogo","NumFallas"
1016,34,29,0
1017,34,30,0
1018,34,31,0
1019,34,32,0
1020,34,33,0
1021,34,34,0
1022,34,35,0
1023,34,36,0
1024,34,37,0
1025,35,1,0
1026,35,2,0
1027,35,3,0
1028,35,4,0
1029,35,5,0
1030,35,6,0
1031,35,8,0
1032,35,11,0
1033,35,12,0
1034,35,14,0
1035,35,15,0
1036,35,16,0
1038,35,18,2
1039,35,19,0
1040,35,20,0
1041,35,21,0
1042,35,22,6
1043,35,24,0
1044,35,25,0
1045,35,26,0
1046,35,27,0
1047,35,29,0
1048,35,30,0
1049,35,31,3
1050,35,32,2
1051,35,33,0
1052,35,34,32
1053,35,35,0
1054,35,36,0
1055,35,37,16
1056,36,1,0
1057,36,2,0
1058,36,3,0
1059,36,4,0
1060,36,5,0
1061,36,6,0
1062,36,8,0
1063,36,11,0
1064,36,12,0
1066,36,15,0
1067,36,16,2
1069,36,18,2
1070,36,19,0
1071,36,20,0
1072,36,21,0
1073,36,22,0
1074,36,24,0
1075,36,25,0
1076,36,26,0
1077,36,27,0
1078,36,29,0
1079,36,30,0
1080,36,31,0
1081,36,32,1
1082,36,33,0
1083,36,34,23
1084,36,35,0
1085,36,36,0
1086,36,37,0
1087,37,1,0
1088,37,2,0
1089,37,3,0
1090,37,4,0
1091,37,5,0
1092,37,6,0
1093,37,8,0
1094,37,11,0
1095,37,12,0
1096,37,14,0
1097,37,15,0
1098,37,16,0
1099,37,17,0
1100,37,18,0
1101,37,19,0
1102,37,20,0
1103,37,21,0
1104,37,22,0
1105,37,24,0
1106,37,25,0
1107,37,26,0
1108,37,27,0
1109,37,29,0
1110,37,30,0
1111,37,31,0
1112,37,32,0
1113,37,33,0
1114,37,34,0
1115,37,35,0
1116,37,36,0
1117,37,37,0
1118,38,1,0
1119,38,2,0
1120,38,3,0
1121,38,4,0
1122,38,5,0
1123,38,6,0
1124,38,8,0
1125,38,11,0
1126,38,12,0
1127,38,14,0
1128,38,15,0
1129,38,16,0
1131,38,18,0
1132,38,19,0
1133,38,20,0
1134,38,21,0
1135,38,22,0
1136,38,24,0
1137,38,25,0
1138,38,26,0
1139,38,27,0
1140,38,29,0
1141,38,30,0
1142,38,31,0
1143,38,32,0
1144,38,33,0
1145,38,34,4
1146,38,35,0
1147,38,36,0
1148,38,37,0
1149,39,1,0
1150,39,2,0
1151,39,3,0
1152,39,4,0
1153,39,5,0
1154,39,6,0
1155,39,8,0
1156,39,11,0
1157,39,12,0
1158,39,14,0
1159,39,15,0
1160,39,16,0
1161,39,17,0
1162,39,18,0
1163,39,19,0
1164,39,20,0
1165,39,21,0
1166,39,22,0
1167,39,24,0
1168,39,25,0
1169,39,26,0
1170,39,27,0
1171,39,29,0
1172,39,30,0
1173,39,31,0
1174,39,32,0
1175,39,33,0
1176,39,34,0
1177,39,35,0
1178,39,36,0
1179,39,37,0
1180,40,1,0
1181,40,2,0
1182,40,3,0
1183,40,4,0
1184,40,5,0
1185,40,6,0
1187,40,11,0
1188,40,12,0
1189,40,14,0
1190,40,15,0
1191,40,16,0
1193,40,18,0
1194,40,19,0
1195,40,20,0
1196,40,21,0
1197,40,22,22
1198,40,24,0
1199,40,25,0
1200,40,26,0
1201,40,27,0
1202,40,29,0
1203,40,30,0
1204,40,31,0
1205,40,32,0
1206,40,33,0
1207,40,34,0
1208,40,35,0
1209,40,36,0
1210,40,37,0
1211,41,1,0
1212,41,2,0
1213,41,3,0
1214,41,4,0
1215,41,5,0
1216,41,6,0
1218,41,11,0
1219,41,12,0
1220,41,14,0
1221,41,15,0
1222,41,16,0
1224,41,18,0
1225,41,19,0
1226,41,20,0
1227,41,21,0
1228,41,22,0
1229,41,24,0
1230,41,25,0
1231,41,26,0
1232,41,27,0
1233,41,29,0
1234,41,30,0
1235,41,31,0
1236,41,32,0
1237,41,33,0
1238,41,34,0
1239,41,35,0
1240,41,36,0
1241,41,37,0
1242,42,1,0
1243,42,2,0
1244,42,3,0
1245,42,4,0
1246,42,5,0
1247,42,6,0
1249,42,11,0
1250,42,12,0
1251,42,14,0
1252,42,15,0
1253,42,16,0
1255,42,18,0
1256,42,19,0
1257,42,20,0
1258,42,21,0
1259,42,22,0
1260,42,24,0
1261,42,25,0
1262,42,26,0
1263,42,27,0
1264,42,29,0
1265,42,30,0
1266,42,31,0
1267,42,32,0
1268,42,33,0
1269,42,34,5
1270,42,35,0
1271,42,36,0
1272,42,37,0
1273,43,1,0
1274,43,2,0
1275,43,3,0
1276,43,4,0
1277,43,5,0
1278,43,6,0
1279,43,8,0
1280,43,11,0
1281,43,12,0
1282,43,14,0
1283,43,15,0
1284,43,16,0
1285,43,17,0
1286,43,18,0
1287,43,19,0
1288,43,20,0
1289,43,21,0
1290,43,22,0
1291,43,24,0
1292,43,25,0
1293,43,26,0
1294,43,27,0
1295,43,29,0
1296,43,30,0
1297,43,31,0
1298,43,32,0
1299,43,33,0
1300,43,34,0
1301,43,35,0
1302,43,36,0
1303,43,37,0
1304,44,1,0
1305,44,2,0
1306,44,3,0
1307,44,4,0
1308,44,5,0
1309,44,6,0
1311,44,11,0
1312,44,12,0
1313,44,14,0
1314,44,15,0
1315,44,16,1
1317,44,18,0
1318,44,19,0
1319,44,20,0
1320,44,21,0
1321,44,22,0
1322,44,24,0
1323,44,25,0
1324,44,26,0
1325,44,27,0
1326,44,29,0
1327,44,30,0
1328,44,31,0
1329,44,32,0
1330,44,33,0
1331,44,34,20
1332,44,35,0
1333,44,36,0
1334,44,37,1
1335,45,1,0
1336,45,2,0
1337,45,3,0
1338,45,4,0
1339,45,5,0
1340,45,6,0
1342,45,11,0
1343,45,12,0
1344,45,14,0
1345,45,15,0
1346,45,16,0
1348,45,18,0
1349,45,19,0
1350,45,20,0
1351,45,21,0
1352,45,22,0
1353,45,24,0
1354,45,25,0
1355,45,26,0
1356,45,27,0
1357,45,29,0
1358,45,30,0
1359,45,31,0
1360,45,32,0
1361,45,33,0
1362,45,34,20
1363,45,35,0
1364,45,36,0
1365,45,37,0
1366,46,1,0
1367,46,2,0
1368,46,3,0
1369,46,4,0
1370,46,5,0
1371,46,6,0
1373,46,11,0
1374,46,12,0
1375,46,14,0
1376,46,15,0
1377,46,16,0
1379,46,18,0
1380,46,19,0
1381,46,20,0
1382,46,21,0
