"IdModelosTela","IdModelos","IdTelasDis","CantTela","bPreCosto","bProduccion","bCosto"
304,349,6,0.35,1,1,1
253,350,4,0.50,1,1,1
256,351,4,0.35,1,1,1
257,352,4,0.40,1,1,1
255,354,5,0.25,1,1,1
307,355,4,0.50,1,1,1
308,356,5,0.22,1,1,1
309,357,5,0.20,1,1,1
310,358,4,0.48,1,1,1
311,359,4,0.30,1,1,1
254,362,5,0.30,1,1,1
278,363,2,0.35,1,1,1
248,365,4,0.40,1,1,1
249,366,4,0.35,1,1,1
245,367,12,0.53,1,1,1
288,370,4,0.50,1,1,1
295,371,4,0.35,1,1,1
252,372,4,0.50,1,1,1
296,373,2,0.40,1,1,1
251,375,4,0.50,1,1,1
297,376,4,0.40,1,1,1
289,377,2,0.50,1,1,1
298,378,2,0.40,1,1,1
299,380,2,0.40,1,1,1
290,381,2,0.50,1,1,1
300,382,2,0.40,1,1,1
291,383,2,0.50,1,1,1
292,384,2,0.45,1,1,1
301,385,2,0.40,1,1,1
293,386,2,0.50,1,1,1
302,387,2,0.40,1,1,1
294,388,2,0.50,1,1,1
247,389,2,0.40,1,1,1
313,391,4,0.50,1,1,1
320,392,6,0.50,1,1,1
322,394,6,0.35,1,1,1
323,395,6,0.25,1,1,1
321,396,5,0.25,1,1,1
317,404,6,0.45,1,1,1
318,405,6,0.45,1,1,1
319,406,6,0.35,1,1,1
312,407,17,0.25,1,1,1
316,408,2,0.40,1,1,1
315,409,2,0.35,1,1,1
324,410,5,0.25,1,1,1
325,411,2,0.50,1,1,1
331,412,2,0.50,1,1,1
326,413,2,0.40,1,1,1
327,414,2,0.45,1,1,1
328,415,5,0.25,1,1,1
329,416,2,0.50,1,1,1
330,417,2,0.45,1,1,1
332,418,2,0.40,1,1,1
333,419,2,0.50,1,1,1
334,420,2,0.50,1,1,1
335,421,5,0.25,1,1,1
336,422,2,0.45,1,1,1
337,423,2,0.35,1,1,1
342,424,6,0.50,1,1,1
343,425,5,0.25,1,1,1
344,426,6,0.50,1,1,1
345,427,6,0.35,1,1,1
346,428,2,0.50,1,1,1
347,429,5,0.30,1,1,1
348,430,2,0.50,1,1,1
349,431,2,0.35,1,1,1
338,432,2,0.50,1,1,1
339,433,2,0.40,1,1,1
340,434,5,0.25,1,1,1
341,435,2,0.35,1,1,1
350,437,5,0.25,1,1,1
351,438,4,0.50,1,1,1
352,440,4,0.50,1,1,1
353,441,4,0.35,1,1,1
354,442,13,0.23,1,1,1
355,443,5,0.25,1,1,1
356,444,4,0.45,1,1,1
357,445,4,0.45,1,1,1
358,446,4,0.35,1,1,1
363,448,4,0.50,1,1,1
365,449,4,0.45,1,1,1
364,450,4,0.35,1,1,1
366,451,5,0.25,1,1,1
367,452,4,0.50,1,1,1
369,453,5,0.25,1,1,1
368,454,4,0.45,1,1,1
370,455,4,0.35,1,1,1
371,456,4,0.50,1,1,1
372,457,4,0.45,1,1,1
373,458,4,0.45,1,1,1
374,459,4,0.35,1,1,1
375,460,5,0.25,1,1,1
376,461,4,0.55,1,1,1
377,462,4,0.50,1,1,1
378,463,4,0.40,1,1,1
379,464,4,0.35,1,1,1
359,465,5,0.21,1,1,1
360,466,4,0.45,1,1,1
361,467,2,0.35,1,1,1
362,468,5,0.25,1,1,1
380,469,13,0.23,1,1,1
384,470,8,0.25,1,1,1
381,473,4,0.45,1,1,1
382,474,4,0.40,1,1,1
383,475,8,0.25,1,1,1
385,476,6,0.35,1,1,1
386,477,6,0.00,1,1,1
387,480,6,0.40,1,1,1
388,481,6,0.50,1,1,1
389,482,6,0.35,1,1,1
390,483,8,0.25,1,1,1
391,485,6,0.40,1,1,1
392,486,6,0.50,1,1,1
393,501,13,0.24,1,1,1
394,502,13,0.24,1,1,1
395,503,6,0.50,1,1,1
396,504,13,0.21,1,1,1
398,506,6,0.45,1,1,1
399,507,6,0.35,1,1,1
397,508,13,0.20,1,1,1
410,509,8,0.35,1,1,1
411,510,8,0.45,1,1,1
408,511,8,0.00,1,1,1
409,512,8,0.45,1,1,1
400,514,5,0.27,1,1,1
