"IdTelasColores","IdTelas","Color","Precio"
892,179,"Blanco",68.00
893,179,"Jaspe Obs",68.00
894,179,"Jaspe Claro",68.00
895,180,"Morado",12.00
896,180,"Lila",12.00
897,181,"Petalo",95.00
898,181,"Turquesa",95.00
899,181,"Laurel",95.00
900,181,"Cielo",95.00
901,181,"Naranja",95.00
902,182,"Melon",190.00
903,182,"Menta",190.00
904,182,"Amarillo",190.00
905,182,"Negro",190.00
906,183,"Mezclilla",85.00
907,85,"Marino",125.00
908,85,"Cielo",125.00
909,184,"Rey",115.00
910,184,"Oxford",115.00
911,184,"Limon",115.00
912,184,"Agua",115.00
913,184,"Rojo",115.00
914,184,"Lila",115.00
915,185,"Verde",25.00
916,85,"Gris2",110.00
917,186,"Rosa",80.00
918,186,"Fiusha",80.00
919,186,"Cielo",80.00
920,186,"Marino",80.00
922,85,"Plumbago",110.00
923,85,"Melon",110.00
924,187,"Verde",110.00
925,187,"Rosa",110.00
926,188,"Verde",118.00
927,85,"Blanco Humbro",120.00
928,189,"Rojo",98.00
929,189,"Verde",98.00
930,190,"Cielo",125.00
931,190,"Verde Limon",125.00
932,190,"Cereza",125.00
933,190,"Negro",125.00
934,191,"Rojo",128.00
935,191,"Naranja",128.00
936,191,"Banco",128.00
937,191,"Turquesa",128.00
938,191,"Rosa Baby",128.00
939,191,"Turquesa 2",165.00
940,191,"Amarillo",190.00
941,191,"Marino",190.00
942,192,"Rey",150.00
943,192,"Amarillo",150.00
944,192,"Turquesa",150.00
945,192,"Marino",150.00
946,193,"Verde Limon",210.00
947,193,"Paja",210.00
948,193,"Gris",210.00
949,194,"Negro",115.00
950,192,"Negro Kumbia",115.00
952,136,"Vino",58.00
953,136,"Rojo",58.00
954,136,"Tabaco",58.00
955,136,"Shedron",58.00
956,136,"Oxford",58.00
957,136,"Naranja",58.00
958,52,"Gris Perla",71.00
959,52,"Rey",71.00
960,139,"Rosa Medio",132.00
961,139,"Negro",132.00
962,196,"Negro",128.95
964,198,"oxford",100.00
965,143,"marino",132.00
966,199,"oxford",120.00
967,200,"Blanco",0.00
968,200,"blanco",126.00
969,201,"Oxford",95.00
970,,,0.00
971,202,"Oxford",105.00
972,201,"Negro",95.00
973,201,"Marino",95.00
974,169,"Negro",110.00
975,169,"oxford",110.00
976,204,"negro",103.00
977,204,"marino",103.00
978,204,"oxford",103.00
983,205,"marino",54.00
984,205,"rojo",54.00
985,205,"blanco",54.00
986,208,"Coral",98.00
987,208,"Oxford",98.00
988,209,"Marino",115.50
989,209,,0.00
990,210,"Negro",19.00
991,210,"Marino",20.00
992,210,"Oxford",20.00
993,211,"Negro",20.00
