"IdEsMa_Desc","IdEsMa","DescuentoEsMa","ObsDesc"
282,6477,$5568.00,"3 pesos por prenda orden 2453."
283,6495,$356.00,"Plancha"
284,6385,$1000.00,"Transporte extra a C&A"
285,6561,$1100.00,"275 prendas $4.00 por no meter remates, orden 2414"
286,6689,$7000.00,"por entregar mal lo primero"
287,6702,$4000.00,"Entrega tarde joggger dma. Orden 2509"
288,6948,$480.00,"8 prendas faltantes."
289,6995,$1200.00,"20 prendas"
290,7004,$3960.00,"Descuento por no entregar orden 2532. Fue NO SHOW"
291,7012,$500.00,"Taxi para recibir"
292,7096,$2976.00,"Descuento 4 pesos orden 2531 por entrega tan tarde"
293,7325,$1772.00,"Penalizacion por entrega tarde. Orden 2526"
294,7329,$3360.00,"Penalizacion por no entregar"
295,7354,$4836.00,"4 pesos por prenda de las chamarras que no deshebro"
296,7399,$720.00,"9 Prendas treggings ord. 2559"
297,7401,$4221.00,"Compostura de chamarras jaspe 4,221."
298,7403,$1200.00,"30 prendas de segundas de mas. Son demasiadas segundas"
299,7405,$2900.00,"58 prendas de segundas de mas."
300,7533,$400.00,"20 prendas sin ojal"
301,7568,,"penalizacion por entregar tarde e incompleto. Orden 2599"
302,7585,$320.00,"4 premdas ord. 2595"
303,7594,$1400.00,"1000 jartetas de cklass a 1.40 pesos"
304,7664,$0.00,"No entrego orden 2532"
305,7678,$4312.00,"25% orden 2581 por entregar tan tarde."
306,7701,,"113 prrendas orden 2414"
307,7731,$1650.00,"Cardigan hechado a perder"
308,7763,$942.00,"Bies"
309,7769,$350.00,"7 prendas ordenes 2625 y 2623"
310,7775,$3000.00,"Hizo velar a toda la gente y no entrego el modeo de cklass, hasta el otro dia. Aparte no se enytrego el modelo con el cliente ese dia."
311,7793,$210.00,"3 prendas orden 2636"
312,7798,$250.00,"5 prendas orden 2635"
313,7799,$400.00,"8 prendas orden 2633"
314,7805,$200.00,"4 prendas 2630"
315,7837,$3971.00,"Orden 2621 MUY MAL COSIDA. La reparamos nosotros... Mas de 150 prendas."
316,7907,$1234.00,"Plancha orden 2647"
317,7998,$6000.00,"Dos transportes contratados"
318,7999,$1000.00,"Velada"
319,8000,$280.00,"4 prendas faltantes"
320,8007,$1000.00,"Entrega Tarde del short"
321,8026,$500.00,"Compostutras orden 2653"
322,8027,$500.00,"Composturas orden 2656"
323,8028,,
324,8038,,
325,8040,$120.00,"Dos prendas, orden 2678 y 2677"
326,8037,$210.00,"3 prendas 31034, orden 2701"
327,8041,$280.00,"7 prendas orden 2660"
328,8066,,
329,8067,$560.00,"7 prendas orden 2696"
