"IdProm_ExisFecha","CodigoExis","Tienda","CantExis"
1,"73802399S6306",45,23
1,"73802399S6306",34,10
1,"73802399S6306",24,31
1,"73802399S6306",1,20
1,"73802399S6306",2,30
1,"73802399S6306",39,23
1,"73802399S6306",16,32
1,"73802399S6306",25,28
1,"73802399S6306",50,29
1,"73802399S6306",3,36
1,"73802399S6306",20,68
1,"73802399S6306",31,26
1,"73802399S6306",5,24
1,"73802399S6306",30,15
1,"73802399S6306",15,30
1,"73802399S6306",33,32
1,"73802399S6306",44,22
1,"73802399S6306",37,17
1,"73802399S6306",41,31
1,"73802399S6306",19,22
1,"73802399S6306",32,6
1,"73802399S6306",27,21
1,"73802399S6306",28,28
1,"73802399S6306",11,32
1,"73802399S6306",4,38
1,"73802399S6306",42,31
1,"73802399S6306",70,94
1,"73802399S6306",22,40
1,"73802399S6306",46,25
1,"73802399S6306",17,34
1,"73802399S6306",36,54
1,"73802399S6306",12,30
1,"73802399S6306",29,12
1,"73802399S6306",49,11
1,"73802399S6306",18,58
1,"73802449S6004",70,17
1,"73802449S6004",7,6
1,"73802449W6303",37,12
1,"73802499S4003",70,35
1,"73802499S6002",35,10
1,"73802499S6002",70,97
1,"73802499S6002",26,24
1,"73802499S6002",7,2
1,"73802499S6002",39,24
1,"73802599S6005",39,4
1,"73802599S6005",35,10
1,"73802699R4002",70,4
1,"73802699S6308",11,7
1,"73802699S6308",45,7
1,"73802699S6308",70,19
1,"73802799R4005",35,2
1,"73803119C6323",7,8
1,"73803119C6323",49,12
1,"73803149B6010",47,17
1,"73803149B6303",47,14
1,"73803149L6313",19,50
1,"73803149L6313",25,40
1,"73803149L6313",43,19
1,"73803149L6313",34,12
1,"73803149L6313",16,30
1,"73803149L6313",40,17
1,"73803149L6313",10,12
1,"73803149L6313",21,30
1,"73803149L6313",30,34
1,"73803149L6313",1,18
1,"73803149L6313",31,50
1,"73803149L6314",16,10
1,"73803149L6314",20,48
1,"73803149L6314",48,20
1,"73803149L6314",28,5
1,"73803149L6314",40,38
1,"73803149L6314",46,31
1,"73803149L6314",24,45
1,"73803149L6314",19,30
1,"73803149L6314",23,10
1,"73803149L6314",21,42
1,"73803149L6314",4,15
1,"73803149L6314",50,49
1,"73803149L6314",31,30
1,"73803149L6314",25,24
1,"73803149L6314",43,20
1,"73803149Y6002",44,34
1,"73803149Y6002",10,39
1,"73803149Y6002",21,49
1,"73803149Y6002",22,39
1,"73803149Y6002",35,48
1,"73803149Y6002",49,39
1,"73803149Y6002",17,50
1,"73803149Y6002",43,28
1,"73803149Y6002",15,37
1,"73803149Y6002",36,48
1,"73803149Y6002",42,49
1,"73803149Y6002",12,33
1,"73803149Y6002",16,30
1,"73803149Y6002",5,29
1,"73803149Y6002",50,13
1,"73803149Y6002",4,48
1,"73803149Y6002",11,24
1,"73803169L6315",49,18
1,"73803169L6315",17,50
1,"73803169L6315",43,19
1,"73803169L6315",21,88
1,"73803169L6315",32,37
1,"73803169L6315",50,8
1,"73803169L6315",24,40
1,"73803169L6315",14,38
1,"73803169L6315",31,50
1,"73803169L6315",45,66
1,"73803169L6315",4,31
1,"73803169L6315",25,50
1,"73803169L6315",12,11
1,"73803169L6315",39,4
1,"73803169L6315",34,49
1,"73803169L6315",1,69
1,"73803169L6315",16,50
1,"73803169L6315",30,99
1,"73803169L6315",48,82
1,"73803169L6315",40,17
1,"73803169L6315",46,96
1,"73803169L6315",10,9
1,"73803169L6315",7,13
1,"73803169L6315",47,7
1,"73803169L6315",44,20
1,"73803169L6316",21,100
1,"73803169L6316",4,50
1,"73803169L6316",25,50
1,"73803169L6316",39,49
1,"73803169L6316",15,39
1,"73803169L6316",29,30
1,"73803169L6316",36,50
1,"73803169L6316",47,110
1,"73803169L6316",16,32
1,"73803169L6316",20,47
1,"73803169L6316",42,50
1,"73803169L6316",30,49
1,"73803169L6316",45,50
1,"73803169L6316",48,69
1,"73803169L6316",11,23
1,"73803169L6316",12,50
1,"73803169L6316",2,100
1,"73803169L6316",10,112
1,"73803169L6316",7,50
1,"73803169L6316",1,49
1,"73803169L6316",44,39
