"IdRC","IdOrdenes","IdCP_Tiempos","IdCP_Procesos","NumProcesoRC","TiempoRC","AntecesorRC","FechaEst","FechaReal","IdUsuario","FechaUsuarioRC","Acumulado"
357,5492,6,6,6,2,"2",06/03/2026 00:00:00,,0,,6
358,5492,7,7,7,15,"2",25/03/2026 00:00:00,,0,,19
359,5492,8,8,8,12,"2",20/03/2026 00:00:00,,0,,16
360,5492,9,9,9,12,"1",17/03/2026 00:00:00,,0,,13
361,5492,10,10,10,8,"4",01/04/2026 00:00:00,,0,,24
362,5492,11,11,11,1,"8",23/03/2026 00:00:00,,0,,17
363,5492,12,12,12,12,"11",08/04/2026 00:00:00,,0,,29
364,5492,13,13,13,2,"6",10/03/2026 00:00:00,,0,,8
365,5492,14,14,14,7,"13",19/03/2026 00:00:00,,0,,15
366,5492,15,15,15,3,"13",13/03/2026 00:00:00,,0,,11
1,0,0,0,0,0,,,07/10/2022 00:00:00,92,07/10/2022 13:12:03,0
2,0,0,0,0,0,,,07/10/2022 00:00:00,92,07/10/2022 13:12:12,0
3,0,0,0,0,0,,,10/10/2022 00:00:00,45,10/10/2022 12:08:04,0
4,4938,27,1,1,1,"0",07/10/2022 00:00:00,13/09/2022 12:21:06,0,,1
5,4938,28,2,2,3,"1",12/10/2022 00:00:00,,0,,4
6,4938,29,3,3,1,"2",13/10/2022 00:00:00,,0,,5
7,4938,30,4,4,15,"1",28/10/2022 00:00:00,,0,,16
8,4938,31,5,5,12,"1",25/10/2022 00:00:00,,0,,13
9,4938,32,6,6,2,"2",14/10/2022 00:00:00,,0,,6
10,4938,33,7,7,15,"2",02/11/2022 00:00:00,,0,,19
11,4938,34,8,8,12,"2",28/10/2022 00:00:00,,0,,16
12,4938,35,9,9,12,"1",25/10/2022 00:00:00,,0,,13
13,4938,36,10,10,8,"4",09/11/2022 00:00:00,,0,,24
14,4938,37,11,11,1,"8",31/10/2022 00:00:00,,0,,17
15,4938,38,12,12,12,"11",16/11/2022 00:00:00,,0,,29
16,4938,39,13,13,30,"6",25/11/2022 00:00:00,,0,,36
17,4938,40,14,14,7,"13",06/12/2022 00:00:00,,0,,43
18,4938,41,15,15,3,"13",30/11/2022 00:00:00,06/01/2023 00:00:00,45,06/01/2023 15:04:10,39
19,4938,42,16,16,3,"15",05/12/2022 00:00:00,,0,,42
20,4938,43,17,17,3,"16",08/12/2022 00:00:00,,0,,45
21,4938,44,18,18,1,"17",09/12/2022 00:00:00,,0,,46
22,4938,45,19,19,10,"18",23/12/2022 00:00:00,,0,,56
23,4938,46,20,20,1,"18",12/12/2022 00:00:00,,0,,47
24,4938,47,21,21,1,"17",09/12/2022 00:00:00,,0,,46
25,4938,48,22,22,7,"21",20/12/2022 00:00:00,,0,,53
26,4938,49,23,23,2,"22",22/12/2022 00:00:00,,0,,55
27,4938,50,24,24,2,"23",26/12/2022 00:00:00,,0,,57
28,4938,51,25,25,5,"24",02/01/2023 00:00:00,,0,,62
29,4938,52,26,26,3,"25",05/01/2023 00:00:00,,0,,65
30,4939,27,1,1,1,"0",07/10/2022 00:00:00,13/09/2022 12:26:29,0,,1
31,4939,28,2,2,3,"1",12/10/2022 00:00:00,,0,,4
32,4939,29,3,3,1,"2",13/10/2022 00:00:00,,0,,5
33,4939,30,4,4,15,"1",28/10/2022 00:00:00,,0,,16
34,4939,31,5,5,12,"1",25/10/2022 00:00:00,,0,,13
35,4939,32,6,6,2,"2",14/10/2022 00:00:00,,0,,6
36,4939,33,7,7,15,"2",02/11/2022 00:00:00,,0,,19
367,5492,16,16,16,3,"15",18/03/2026 00:00:00,,0,,14
368,5492,17,17,17,3,"16",23/03/2026 00:00:00,,0,,17
369,5492,18,18,18,1,"17",24/03/2026 00:00:00,,0,,18
